Carrier,Phone,Price_by_month
AT&T,LG Prime 2,4
AT&T,LG K40,6
AT&T,LG Stylo 4+,10
AT&T,iPhone 7,17.94
AT&T,Blackberry KEYone,11.67
AT&T,iPhone 6s Plus,11.74
AT&T,iPhone 8,12.75
AT&T,iPhone Se,13.34
AT&T,LG Stylo 5+ ,10
AT&T,iPhone 7 Plus,13.34
AT&T,iPhone 7 Plus 32GB,14.17
AT&T,iPhone 8,20
AT&T,Kycera DuraForce PRO 2,15
AT&T,iPhone 8 Plus,15
AT&T,Samsung Galaxy S9,16.67
AT&T,iPhone XR,10
AT&T,Samsung Galaxy S10e,20
AT&T,LG V35 ThingQ,20
AT&T,Apple iPhone 11,23.34
AT&T,Sonim XP8,23.34
AT&T,Samsung Galaxy S10,25
AT&T,Samsung Galaxy S8+,25.17
AT&T,iPhone X,29.75
AT&T,LG G8X ThinQ,26
AT&T,LG G8 ThinQ,27.67
AT&T,Google Pixel 4 ,28
AT&T,Samsung Galaxy S10+,28.34
AT&T,Apple iPhone XS,30
AT&T,Samsung Galaxy Note9,30
AT&T,Apple iPhone X,30
AT&T,Samsung Galaxy Note10,31
AT&T,Samsung Galaxy S20 5G,33.34
AT&T,iPhone 11 Pro ,33.34
AT&T,iPhone XS Max,33.34
AT&T,iPhone 11 Pro Max,36.67
AT&T,Samsung Galaxy XCover FieldPro,36.84
AT&T,Samsung Galaxy S20+ 5G,40
AT&T,Samsung Galaxy Note10+ 5G,43.34
AT&T,Samsung Galaxy Z Flip,46
AT&T,Samsung Galaxy S20 Ultra 5G,46.67
AT&T,Samsung Galaxy Fold,66
Verizon,iPhone 7 ,14.58
Verizon,Alcatel Avalon V,4.16
Verizon,Motorola Moto e^6,6.24
Verizon,Samsung Galaxy A01,6.24
Verizon,Motorola Moto g^7 Play ,7
Verizon,Nokia 3V,7
Verizon,Samsung Galaxy A10e,7.49
Verizon,LG Stylo 5,10
Verizon,Samsung Galaxy A20,10.41
Verizon,Palm Compacy Phone,10.42
Verizon,iPhone SE,16.66
Verizon,iPhone 7 Plus ,16.66
Verizon,Samsung Galaxy A51,16.66
Verizon,Kyocera DuraForce PRO 2 with Shapphire Shield,18.5
Verizon,Motorola Moto z^4 ,20.83
Verizon,Samsung Galaxy S10e,24.99
Verizon,iPhone XR,24.99
Verizon,Sonim XP8,27
Verizon,Apple iPhone 11,29.16
Verizon,Samsung Galaxy S10,31.24
Verizon,Google Pixel 4,33.33
Verizon,LG G8 ThinQ,35
Verizon,Samsung Galaxy S10+,35.41
Verizon,iPhone XS,37.49
Verizon,Google Pixel 4 XL,37.49
Verizon,LG V60 ThinQ 5G UW ,39.58
Verizon,Samsung Galaxy Note10,39.58
Verizon,iPhone 11 Pro,41.66
Verizon,iPhone 11 Pro Max,45.83
Verizon,Samsung Note 10+,45.83
Verizon,iPhone XS Max ,47.91
Verizon,Samsung Galaxy S20+ 5G,49.99
Verizon,Samsung Galaxy Note10+ 5G ,54.16
Verizon,Samsung Galaxy S20 Ultra 5G,58.33
Verizon,Motorola Razr ,62.49
Verizon,Motorola Razr ,62.49
T-Mobile,GO Flip 3,4
T-Mobile,Aristo 4+ ,6.25
T-Mobile,Moto e 6th gen,6.25
T-Mobile,Revvlry,7
T-Mobile,K40,7.71
T-Mobile,Stylo 5,8.34
T-Mobile,Galaxy A10e,8.34
T-Mobile,Moto g7 Power,8.34
T-Mobile,Galaxy A20,10
T-Mobile,iPhone 7,14.59
T-Mobile,Revvlry +,14
T-Mobile,6T,15
T-Mobile,iPhone SE,16.67
T-Mobile,iPhone 8,16.67
T-Mobile,Pixel 3a,16.67
T-Mobile,iPhone 8 Plus,18.75
T-Mobile,7 Pro,18.75
T-Mobile,7T,20.84
T-Mobile,Galaxy S10e,25
T-Mobile,iPhone XR,25
T-Mobile,iPhone 11,29.17
T-Mobile,iPhone XS,29.17
T-Mobile,Galaxy S10,31.25
T-Mobile,G8 ThinQ,31.25
T-Mobile,V60 ThinQ 5G,33.34
T-Mobile,V60 ThinQ 5G Dual Screen,37.5
T-Mobile,7T Pro 5G McLaren,37.5
T-Mobile,Galaxy Note 10,39.59
T-Mobile,Galaxy S20 5G,41.67
T-Mobile,iPhone 11 Pro,31.25
T-Mobile,iPhone XS Max,31.25
T-Mobile,iPhone 11 Pro Max,31.25
T-Mobile,Galaxy Note 10+,45.84
T-Mobile,Galaxy S20 + 5G,50
T-Mobile,Galaxy Note 10+ 5G,54.17
T-Mobile,Galaxy S20 Ultra 5G,58.34
T-Mobile,Galaxy S20 Ultra 5G,58.34
